,TRIBUNAL,TURMA RECURSAL,TOTAL DE PROCESSOS,PVALUE,PVALUE INTERPRETACAO,POWER,POWER INTERPRETAÇÃO,EFFECT,EFFECT INTERPRETACAO
0,TRT3,1ª Turma,1058,"0,0",HÁ DIFERENÇA,"1,0",ACEITÁVEL,"0,3749",PEQUENA
0,TRT3,2ª Turma,906,"0,4009",NÃO HÁ DIFERENÇA,"0,1789",INACEITÁVEL,"0,0591",INSIGNIFICANTE
0,TRT3,3ª Turma,938,"0,1047",NÃO HÁ DIFERENÇA,"0,5978",INACEITÁVEL,"0,1193",INSIGNIFICANTE
0,TRT3,4ª Turma,931,"0,0014",HÁ DIFERENÇA,"0,9803",ACEITÁVEL,"0,2245",PEQUENA
0,TRT3,5ª Turma,889,"0,3495",NÃO HÁ DIFERENÇA,"0,2372",INACEITÁVEL,"0,0692",INSIGNIFICANTE
0,TRT3,6ª Turma,973,"0,0116",HÁ DIFERENÇA,"0,9142",ACEITÁVEL,"0,1788",INSIGNIFICANTE
0,TRT3,7ª Turma,1025,"0,0",HÁ DIFERENÇA,"1,0",ACEITÁVEL,"0,4839",PEQUENA
0,TRT3,8ª Turma,850,"0,0762",NÃO HÁ DIFERENÇA,"0,6205",INACEITÁVEL,"0,1321",INSIGNIFICANTE
0,TRT3,9ª Turma,1016,"0,0",HÁ DIFERENÇA,"1,0",ACEITÁVEL,"0,5803",MÉDIA
0,TRT3,10ª Turma,957,"0,0394",HÁ DIFERENÇA,"0,747",INACEITÁVEL,"0,1443",INSIGNIFICANTE
0,TRT3,11ª Turma,934,"0,0",HÁ DIFERENÇA,"1,0",ACEITÁVEL,"0,3518",PEQUENA
